0.1000,0.6600,E4 
0.6800,1.2900,E4 
1.3100,1.8900,E4 
1.9100,2.4900,E4 
2.5000,2.7900,D4 
2.8000,3.0700,C4#
3.0800,3.5600,B3 
3.6200,3.8700,C4#
3.8900,4.1700,D4 
4.2000,4.7500,E4 
4.7700,5.3800,E4 
5.4000,6.7400,E4 
7.8600,8.4400,A4 
8.4700,8.6900,B4 
8.7200,8.9400,C5#
8.9900,9.2100,D5 
9.2200,9.4700,C5#
9.4900,10.0200,B4 
10.0700,10.6000,A4 
10.6200,11.1800,A4 
11.1900,11.7600,D4 
11.7700,12.3200,C4#
12.3400,12.6400,F4#
12.6500,12.9000,E4 
12.9500,14.2900,C4#
14.7600,15.2700,A4 
15.2800,15.8600,B4 
15.8700,16.1300,A4 
16.1400,16.4000,G4#
16.4200,16.9200,F4#
16.9400,17.4900,F4#
17.5000,18.0800,F4 
18.1000,19.6300,C4#
20.3500,20.9800,F4#
20.9900,21.5200,G4#
21.5400,21.9600,G4#
22.0300,22.3100,A4 
22.3200,22.5900,F4#
22.6000,23.1700,G4 
23.2000,24.5500,F4#
24.9800,25.4300,F4#
25.4400,25.9800,G4#
25.9900,26.2300,A4 
26.2400,26.5100,G4#
26.5200,26.7800,F4#
26.7900,27.0800,E4 
27.0900,27.6800,D4 
27.7000,28.2700,D4 
28.2800,28.4700,C4#
28.5200,28.7900,G4#
28.8000,29.0500,F4#
29.0600,29.3000,E4 
29.3500,29.8500,E4 
29.8800,30.4700,D4#
30.5000,31.8100,B3 
32.5700,33.1700,D4 
33.1900,33.6700,D4 
33.6800,34.2200,E4 
34.2400,34.4800,E4 
34.5300,34.8500,D4 
34.8600,37.0800,C4#
