317	1017	74
317	1017	69
317	1017	66
317	1017	50
967	1525	74
967	1525	71
967	1525	66
967	1525	47
1618	2034	50
2204	2542	73
2204	2542	69
2204	2542	66
2204	2542	54
2753	3051	71
2753	3051	67
2753	3051	62
2753	3051	55
3362	3559	59
3926	4068	69
3926	4068	66
3926	4068	62
3926	4068	62
4461	4576	74
4461	4576	66
4461	4576	62
4461	4576	59
5031	5085	76
5031	5085	71
5031	5085	55
5650	5593	69
5650	5593	57
5650	5593	61
6232	6102	69
6232	6102	50
6232	6102	78
6232	6102	62
8668	7119	73
8668	7119	58
8668	7119	78
8668	7119	61
9264	7627	71
9264	7627	59
9264	7627	78
9264	7627	62
10353	8644	71
10353	8644	57
10353	8644	78
10353	8644	62
10958	9153	71
10958	9153	56
10958	9153	76
10958	9153	62
11518	9661	69
11518	9661	57
11518	9661	61
12079	10169	69
12079	10169	54
12079	10169	78
12079	10169	62
12649	10678	69
12649	10678	49
12649	10678	79
12649	10678	64
13205	11186	74
13205	11186	50
13205	11186	78
13205	11186	57
13772	11695	69
13772	11695	54
13772	11695	62
14354	12203	69
14354	12203	57
14354	12203	76
14354	12203	61
16829	13220	71
16829	13220	59
16829	13220	74
16829	13220	66
17382	13729	69
17382	13729	61
17382	13729	76
17382	13729	64
18491	14746	69
18491	14746	62
18491	14746	78
18491	14746	62
19027	15254	71
19027	15254	55
19027	15254	76
19027	15254	62
19603	15763	69
19603	15763	57
19603	15763	61
19871	16017	67
20138	16271	66
20138	16271	59
20138	16271	74
20138	16271	62
20670	16780	71
20670	16780	55
20670	16780	71
20670	16780	62
21230	17288	71
21230	17288	52
21230	17288	73
21230	17288	67
21801	17797	70
21801	17797	54
21801	17797	66
22355	18305	71
22355	18305	47
22355	18305	74
22355	18305	66
24825	19322	69
24825	19322	61
24825	19322	81
24825	19322	64
25406	19830	69
25406	19830	62
25406	19830	78
25406	19830	66
25967	20339	61
26519	20847	71
26519	20847	59
26519	20847	74
26519	20847	66
27096	21356	69
27096	21356	61
27096	21356	76
27096	21356	64
27616	21864	59
28119	22373	69
28119	22373	57
28119	22373	79
28119	22373	61
28671	22881	69
28671	22881	62
28671	22881	78
28671	22881	57
29237	23390	67
29237	23390	55
29237	23390	76
29237	23390	59
29766	23898	57
29766	23898	61
30419	24407	66
30419	24407	50
30419	24407	74
30419	24407	57
