0.3170,0.8255,D3 
0.9670,1.4755,B2 
1.6180,2.1265,D3 
2.2040,2.7125,F3#
2.7530,3.2615,G3 
3.3620,3.8705,B3 
3.9260,4.4345,D4 
4.4610,4.9695,B3 
5.0310,5.5395,G3 
5.6500,6.1585,A3 
6.2320,7.2489,D3 
8.6680,9.1765,A3#
9.2640,10.2809,B3 
10.3530,10.8615,A3 
10.9580,11.4665,G3#
11.5180,12.0265,A3 
12.0790,12.5875,F3#
12.6490,13.1575,C3#
13.2050,13.7135,D3 
13.7720,14.2805,F3#
14.3540,15.3709,A3 
16.8290,17.3375,B3 
17.3820,18.3989,C4#
18.4910,18.9995,D4 
19.0270,19.5355,G3 
19.6030,20.1115,A3 
20.1380,20.6465,B3 
20.6700,21.1785,G3 
21.2300,21.7385,E3 
21.8010,22.3095,F3#
22.3550,23.3719,B2 
24.8250,25.3335,C4#
25.4060,25.9145,D4 
25.9670,26.4755,C4#
26.5190,27.0275,B3 
27.0960,27.6045,C4#
27.6160,28.1245,B3 
28.1190,28.6275,A3 
28.6710,29.1795,D4 
29.2370,29.7455,G3 
29.7660,30.2745,A3 
30.4190,31.4359,D3 
