0.3170,0.8255,D5 
0.9670,1.9839,D5 
2.2040,2.7125,C5#
2.7530,3.7699,B4 
3.9260,4.4345,A4 
4.4610,4.9695,D5 
5.0310,6.0479,E5 
6.2320,7.2489,F5#
8.6680,9.1765,F5#
9.2640,10.2809,F5#
10.3530,10.8615,F5#
10.9580,11.9749,E5 
12.0790,12.5875,F5#
12.6490,13.1575,G5 
13.2050,14.2219,F5#
14.3540,15.3709,E5 
16.8290,17.3375,D5 
17.3820,18.3989,E5 
18.4910,18.9995,F5#
19.0270,20.0439,E5 
20.1380,20.6465,D5 
20.6700,21.1785,B4 
21.2300,22.2469,C5#
22.3550,23.3719,D5 
24.8250,25.3335,A5 
25.4060,26.4229,F5#
26.5190,27.0275,D5 
27.0960,28.1129,E5 
28.1190,28.6275,G5 
28.6710,29.1795,F5#
29.2370,30.2539,E5 
30.4190,31.4359,D5 
