0.3170,0.8255,A4 
0.9670,1.9839,B4 
2.2040,2.7125,A4 
2.7530,3.7699,G4 
3.9260,4.4345,F4#
4.4610,4.9695,F4#
5.0310,5.5395,B4 
5.6500,6.1585,A4 
6.2320,7.2489,A4 
8.6680,9.1765,C5#
9.2640,10.2809,B4 
10.3530,10.8615,B4 
10.9580,11.4665,B4 
11.5180,12.0265,A4 
12.0790,12.5875,A4 
12.6490,13.1575,A4 
13.2050,13.7135,D5 
13.7720,14.2805,A4 
14.3540,15.3709,A4 
16.8290,17.3375,B4 
17.3820,18.3989,A4 
18.4910,18.9995,A4 
19.0270,19.5355,B4 
19.6030,19.8572,A4 
19.8710,20.1252,G4 
20.1380,20.6465,F4#
20.6700,21.1785,B4 
21.2300,21.7385,B4 
21.8010,22.3095,A4#
22.3550,23.3719,B4 
24.8250,25.3335,A4 
25.4060,26.4229,A4 
26.5190,27.0275,B4 
27.0960,28.1129,A4 
28.1190,28.6275,A4 
28.6710,29.1795,A4 
29.2370,30.2539,G4 
30.4190,31.4359,F4#
