0.2800,0.6880,C3
0.7590,1.6360,G3
1.3260,1.8190,D3
1.8910,3.1180,G2
3.1800,3.6620,C3
3.7060,4.0170,F3
4.2960,4.2940,E3
4.6380,4.9270,D3
5.2440,6.1880,C3
6.6790,7.5490,G2
7.6160,8.2040,A2
8.1470,8.1470,B2
8.1730,8.7010,C3
8.7410,9.3300,D3
9.3200,9.6180,G3
9.9190,10.5410,C3
10.5560,11.1830,D3
11.1500,12.3480,G2
13.0450,13.3170,E3
13.6460,14.2700,D3
13.9530,14.4640,C3
14.5730,15.9310,G3
16.0480,16.5450,G3
16.2750,16.5500,C4
16.8050,17.0900,B3
17.1260,17.7500,A3
17.4330,18.5470,G3
19.3980,19.9950,E3
20.0100,20.5700,F3#
20.6300,20.9150,G3#
20.8800,21.4770,A3
21.5450,22.1060,G3
22.1310,22.0690,F3
22.3940,22.9640,G3
23.0340,23.3210,G2
23.6700,24.5500,C3
