0.2800,0.8300,C3 
0.8900,1.4500,G3 
1.4800,2.0100,D3 
2.0700,3.2900,G2 
3.3000,3.8600,C3 
3.8700,4.1400,F3 
4.1500,4.4400,E3 
4.4500,5.0500,D3 
5.1000,6.0700,C3 
6.8700,7.4100,G2 
7.4200,8.0200,A2 
8.0300,8.2900,B2 
8.3000,8.5700,C3 
8.5800,9.1900,D3 
9.2000,9.7800,G3 
9.7900,10.4100,C3 
10.4200,11.0200,D3 
11.0300,12.2400,G2 
12.8600,13.4500,E3 
13.4600,14.0700,D3 
14.0800,14.5800,C3 
14.7000,15.7700,G3 
15.8700,16.4000,G3 
16.4500,16.6600,C4 
16.6700,16.9600,B3 
16.9900,17.5500,A3 
17.5800,18.7200,G3 
19.2900,19.8400,E3 
19.8800,20.4500,F3#
20.4600,21.0300,G3#
21.0400,21.6600,A3 
21.6700,21.9400,G3 
21.9500,22.2100,F3 
22.2800,22.8400,G3 
22.8500,23.4600,G2 
23.5700,24.5500,C3 
