0.2100,0.6900,G4
0.9840,1.6260,G4
1.3230,1.8150,F4#
2.1970,2.9940,D4
3.4210,3.7380,E4
3.7200,4.0290,D4
3.7720,4.6000,C4
4.5780,5.1630,D4
5.2470,6.2470,E4
6.7570,7.4590,G4
7.7430,7.6070,G4
7.9100,8.1320,F4#
7.8530,8.4840,G4
8.4750,9.3130,F4#
9.0510,9.6730,G4
9.9190,10.5130,G4
10.2230,11.0950,F4#
11.1610,12.3080,D4
12.7170,13.3380,G4
13.3760,14.1340,F4
14.2260,14.3820,G4
14.8590,15.6700,G4
15.7360,16.2340,G4
16.3050,16.8260,G4
17.0910,17.4110,F4#
17.7010,18.9170,G4
19.1610,19.6640,G4
20.0420,20.3180,D4
20.2960,21.1970,D4
20.8450,22.0820,C4
22.1020,22.4400,A4
22.0860,23.3290,G4
23.0360,23.3010,F4
23.6710,24.5500,E4
