0.2200,0.8583,E4 
0.8570,1.3,D4
1.3,1.8144,D4 
1.7790,2.0981,C4 
2.0690,2.7073,B3 
3.3250,3.6441,C4 
3.6100,3.9291,A3#
3.8940,4.2131,A3 
4.1860,4.5051,G3 
4.4780,5.1163,F3 
5.1110,5.7493,G3 
6.8740,7.5123,B3 
7.4180,8.0563,C4 
8.0330,8.6713,D4 
8.6200,9.2583,D4 
9.2010,9.8393,D4 
9.8410,10.4793,E4 
10.3780,10.6971,D4 
10.7010,11.0201,C4 
11.0230,11.6613,B3 
12.8660,13.5043,C4 
13.4560,14.0943,D4 
14.0490,14.6873,E4 
14.6550,15.2933,B3 
15.8520,16.4903,B3 
16.4280,17.0663,C4 
17.0010,17.6393,C4 
17.5760,18.2143,B3 
19.3000,19.9383,C4 
19.8890,20.5273,C4 
20.4640,21.1023,B3 
21.0260,21.3451,E4 
21.3300,21.6491,F4 
21.6330,21.9521,G4 
21.9510,22.2701,C4 
22.2680,22.9063,C4 
22.8450,23.4833,B3 
23.5520,24.1903,G3 
