0.2000,0.5900,D4
0.6590,1.4860,D4
1.2190,2.1480,D4
2.0850,2.8160,D4
2.5430,2.8300,D4
3.1010,3.3740,F4#
3.3850,4.3750,G4
4.3370,4.6460,F4#
4.3230,5.8320,D4
6.5850,6.9070,G4
6.9130,7.7540,G4
7.7790,8.4570,G4
8.1810,8.7080,F4
8.4170,9.0120,D4#
9.0590,9.3990,D4#
9.3450,9.6200,D4
9.8040,10.1340,D4
9.8500,9.9010,D4#
10.2950,10.1650,F4
10.1270,10.7390,G4
10.7090,11.9540,F4
12.9770,13.3050,F4
13.3260,14.1090,F4
14.4080,14.2490,D4#
14.3380,14.9440,F4#
14.9000,15.2280,G4
14.8950,15.5790,F4#
15.5240,15.7890,G4
15.5860,16.0340,D4
16.2910,16.5300,D4
16.2620,16.8880,G4
16.8500,17.5320,F4#
17.2410,18.6560,D4
19.4000,19.9260,F4
19.9960,20.5130,G4
20.2900,20.9360,D4
20.9370,21.8080,D4
21.5070,22.0810,D4
21.7820,22.0940,F4#
22.0890,23.0700,G4
23.1490,23.4230,F4#
23.7320,25.1300,D4
